timestamp,volume,trades,price
1578066300000,9380219.27822395,7844,7320.18
1578067200000,11902233.16078894,10612,7356.78
1578068100000,18940126.59904341,13331,7368.55
1578069000000,7138690.00724633,6388,7373.35
1578069900000,5104462.55005399,5131,7386.03
1578070800000,7232014.10915107,7899,7352.12
1578071700000,3619295.86246787,4599,7361.56
1578072600000,3123311.40042162,4674,7376.21
1578073500000,2234355.77181923,3280,7355.26
1578074400000,3779958.78923269,3634,7340.01
1578075300000,3048206.29065602,3230,7349.3
1578076200000,2010403.27490979,3094,7360.17
1578077100000,1613489.4527162,2302,7342.96
1578078000000,6877851.702167,6888,7307.24
1578078900000,3030317.57900902,3689,7332.84
1578079800000,4611328.82207378,4655,7339.52
1578080700000,2019181.00672632,2814,7343.08
1578081600000,3398907.67202861,4128,7337.36
1578082500000,3880767.5038882,4404,7323.06
1578083400000,2457631.85463629,3304,7321.95
1578084300000,1592656.74108775,3132,7316.99
1578085200000,1727783.84748864,2870,7327.0
1578086100000,2219768.58287741,3177,7325.69
1578087000000,974883.71464791,2028,7315.48
1578087900000,4048900.9400211,5181,7283.0
1578088800000,2521098.88794335,4118,7281.75
1578089700000,2029887.00589939,3057,7269.78
1578090600000,2122727.16675907,4479,7279.0
1578091500000,3582114.24798047,4703,7300.56
1578092400000,4143296.62305311,4354,7303.75
1578093300000,3048065.94804841,3588,7335.94
1578094200000,2637743.99861194,3187,7323.57
1578095100000,2711081.02085257,3313,7344.96
1578096000000,3838510.35629031,4873,7325.06
1578096900000,1391198.83512051,2399,7316.39
1578097800000,2383213.03886746,3335,7291.52
1578098700000,1466076.13172967,2212,7302.24
1578099600000,2119503.39761391,2810,7295.63
1578100500000,1860859.11146928,2798,7303.03
1578101400000,974593.15543001,1965,7311.11
1578102300000,1040808.09895329,1876,7309.16
1578103200000,1001279.58408664,1723,7312.58
1578104100000,1557030.46983028,2151,7306.66
1578105000000,1835055.39943224,2115,7309.6
1578105900000,1954115.31701408,2768,7327.83
1578106800000,1556270.62335993,2364,7331.19
1578107700000,1434319.1023665,2356,7320.86
1578108600000,1214068.49624336,2118,7325.54
1578109500000,1393839.92917259,2201,7333.11
1578110400000,1120648.346027,2010,7323.03
1578111300000,1370246.22041107,2198,7326.84
1578112200000,1507277.31605439,2128,7329.69
1578113100000,1070793.15142369,1600,7334.86
1578114000000,1440501.31503384,1935,7330.99
1578114900000,1809980.99268971,2680,7346.09
1578115800000,3977805.69274804,4089,7348.07
1578116700000,2371261.39381214,2618,7344.69
1578117600000,1383888.97030783,1831,7354.0
1578118500000,2894205.07460365,2983,7358.09
1578119400000,2402012.06434769,2752,7349.63
1578120300000,1908727.41340216,2400,7354.96
1578121200000,1889203.99890685,2837,7357.28
1578122100000,3458274.75555578,3676,7328.62
1578123000000,2875941.2974486,3379,7334.85
1578123900000,1714222.94846032,2262,7348.11
1578124800000,3073617.26269575,3082,7333.77
1578125700000,1728091.44290268,2107,7346.86
1578126600000,2273468.2507031,2742,7350.33
1578127500000,2274809.45867164,2516,7346.59
1578128400000,1709187.444366,2130,7340.82
1578129300000,1758569.20936608,2418,7347.84
1578130200000,2030658.74448035,2473,7355.76
1578131100000,2470631.11921308,3265,7363.88
1578132000000,2315367.22907454,2622,7355.96
1578132900000,3235820.66204025,3297,7362.04
1578133800000,2992069.69387287,3219,7350.0
1578134700000,4742385.80711603,4606,7318.3
1578135600000,5128886.46413278,5069,7324.94
1578136500000,2819043.32615205,3078,7324.5
1578137400000,1953597.42906268,2428,7332.96
1578138300000,1236030.86899429,1803,7336.45
1578139200000,1207175.10468452,1997,7321.58
1578140100000,1648307.57753808,2504,7325.84
1578141000000,1138608.28554097,2279,7319.85
1578141900000,4286216.40989657,4090,7312.89
1578142800000,2524124.26874568,2626,7324.12
1578143700000,2001095.2753957,2598,7311.96
1578144600000,3680934.26562309,4181,7305.04
1578145500000,3113226.07540087,2994,7303.88
1578146400000,1966016.31110306,3050,7308.05
1578147300000,1592547.40750147,2629,7311.8
1578148200000,1458898.90567003,2534,7323.12
1578149100000,1374920.87031375,2234,7316.72
1578150000000,1157483.87175624,1748,7309.72
1578150900000,2198225.12461799,3201,7327.11
1578151800000,1666855.0566088,2601,7326.89
1578152700000,1345974.99937092,2162,7318.99
1578153600000,1915849.69256255,2930,7318.06
1578154500000,1270702.17961731,2330,7308.94
1578155400000,2585666.81365038,3236,7299.62
1578156300000,1853900.70989523,2416,7307.11
1578157200000,1804924.32937893,2247,7315.52
1578158100000,1722375.60786064,2249,7326.66
1578159000000,3156599.19617221,4010,7332.64
1578159900000,2389647.10666478,2713,7351.99
1578160800000,3253485.01953552,3654,7337.51
1578161700000,1818819.37633199,2311,7351.31
1578162600000,14120596.57018465,11969,7311.39
1578163500000,10981271.60615837,10866,7306.92
1578164400000,3595198.65973528,3982,7294.56
1578165300000,4052228.77217783,5015,7317.9
1578166200000,3807264.57866812,4864,7339.57
1578167100000,2941504.37543026,3471,7334.83
1578168000000,3711650.04961823,4172,7322.06
1578168900000,2471783.90613621,3793,7337.49
